source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/bbs/bbsUtztnTrmsAgreMapper.xml,58,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsAgreMapper,select,selectUtztnTrmsNeedAgreSysList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/BbsUtztnTrmsMapper.xml,17,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsMapper,select,selectUtztnTrmsList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/BbsUtztnTrmsMapper.xml,71,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsMapper,insert,insertUtztnTrms,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/BbsUtztnTrmsMapper.xml,115,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsMapper,update,updateUtztnTrms,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/BbsUtztnTrmsMapper.xml,141,arisuinfo.cm.bbs.mapper.BbsUtztnTrmsMapper,update,deleteUtztnTrms,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/billFormHistMapper.xml,6,arisuinfo.cm.oper.mapper.BillFormHistMapper,select,searchBillFormList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/billFormHistMapper.xml,85,arisuinfo.cm.oper.mapper.BillFormHistMapper,insert,insertBillFormHist,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/billFormHistMapper.xml,113,arisuinfo.cm.oper.mapper.BillFormHistMapper,update,updateBillFormHist,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/billFormHistMapper.xml,127,arisuinfo.cm.oper.mapper.BillFormHistMapper,update,deleteBillFormHist,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/billFormHistMapper.xml,136,arisuinfo.cm.oper.mapper.BillFormHistMapper,update,updatePrevEndNapgi,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/billFormHistMapper.xml,154,arisuinfo.cm.oper.mapper.BillFormHistMapper,select,checkActiveRecord,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/cdValMngMapper.xml,8,arisuinfo.cm.bsis.mapper.CdValMngMapper,select,searchCdValMng,NOT_VERIFIED
